sample_folder,start_time,question,options,standard_answer,task_type
sample_404,100,What is the color of the beverage being poured into the stemmed glass on the bar?,A) Red B) Yellow C) Orange D) Pink,C,Attribute Perception
sample_426,100,What word is printed on the person's shirt?,A) FLY B) SKY C) RUN D) NO TEXT,A,Text-Rich Understanding
sample_465,100,What phrase is clearly visible on the poster featuring a person in a yellow jacket?,A) JUST GO ON  B) SHOW MUST GO ON  C) KEEP GOING  D) NEVER STOP,B,Text-Rich Understanding
sample_481,100,What object is placed on top of the television set?,"A) A small blue toy car  
B) A blue rectangular box  
C) A blue book  
D) A remote control",A,Object Perception
sample_482,100,What text is visible on the front bumper of the white race car?,A) Suzuka B) Suzuko C) Suzuki D) Suzume,A,Text-Rich Understanding
sample_486,100,"According to the standings displayed, what is the name of the driver in third place?",A) Aaron Clocker B) Aaron Cloker C) Aaron Clucker D) Aaron Clacker,A,Text-Rich Understanding
sample_490,100,What letters are displayed on the orange and white billboard on the hillside during the race?,A) BB B) DD C) PP D) QQ,B,Text-Rich Understanding
sample_4,100,What specific gesture does the Barcelona player make immediately after the play?,A) Waving to the crowd B) Pointing to the sky C) Touching his nose D) Clapping his hands,C,Action Perception
sample_7,100,What specific gesture does the player wearing number 10 perform toward his teammate as they approach each other during the sequence?,A) Waving B) Shaking hands C) Pointing D) Thumbs-up,B,Action Perception
sample_30,100,What subtle movement does the small animal exhibit while being held in the video?,"A) Nuzzling toward the person’s shoulder  
B) Struggling to break free from the person’s arms  
C) Looking away from the person’s face  
D) Remaining completely motionless",A,Action Perception
sample_31,100,What kitchen utensil does the person use to mix the eggs in the glass bowl?,A) Fork B) Spoon C) Whisk D) Spatula,C,Object Perception
sample_61,100,"Which action is selected from the context menu for the ""Emily"" text element in the video?",A) Paste B) Copy C) Delete D) Weld,B,Action Perception
sample_67,100,What brand name is visible on the tool used to remove the black shapes from the white sheet during the process?,A) Silhouette B) Cricut C) Brother D) Epson,B,Text-Rich Understanding
sample_82,100,"What year is added to the ""Viewing"" line on the whiteboard during the video?",A) 1949 B) 1950 C) 1948 D) 1951,A,Text-Rich Understanding
sample_113,100,"What text appears directly below the number ""8"" in the Snapdragon logo during the animation sequence?",A) Gen 1  B) Gen 2  C) Plus  D) X,A,Text-Rich Understanding
sample_164,100,What is the highest gradient percentage displayed during the video?,A) 5% B) 6% C) 7% D) 8%,D,Text-Rich Understanding
sample_174,100,"What is the sequence of the numerical value displayed next to ""1/MIN"" across the first five frames?","A) 77, 77, 77, 77, 77  
B) 77, 75, 76, 76, 75  
C) 77, 76, 75, 75, 76  
D) 75, 76, 77, 76, 75",B,Text-Rich Understanding
sample_175,100,What is the highest power output (in watts) displayed during the cycling sequence?,A) 9 B) 96 C) 84 D) 245,D,Text-Rich Understanding
sample_176,100,What is the maximum speed value (in km/h) displayed on the speed indicator during the video sequence?,A) 22 B) 23 C) 24 D) 25,D,Text-Rich Understanding
sample_198,100,How many square holes are visible in the grassy area as the camera moves over the structure?,A) 2 B) 3 C) 4 D) 5,B,Counting
sample_202,100,In which direction does the hand move the yellow block to attach it to the existing structure?,A) Left to right B) Right to left C) Upward D) Downward,A,Action Perception
sample_216,100,How many ice creams is the person in the blue shirt holding when they enter the scene?,A) 1 B) 2 C) 3 D) 4,B,Counting
sample_260,100,What specific action does the driver's right hand perform during the sequence?,"A) Adjusts the rearview mirror  
B) Shifts gears  
C) Rests on the center console  
D) Taps rhythmically on the steering wheel",B,Action Perception
sample_273,100,What is the highest numerical value displayed on the speedometer during the sequence?,A) 038 B) 042 C) 049 D) 052,D,Attribute Perception
sample_288,100,"Based on the speed indicator visible throughout the driving sequence, what was the highest speed value displayed?",A) 59 B) 60 C) 61 D) 62,D,Text-Rich Understanding
sample_308,100,In which direction does the individual near the yellow taxi move as the video progresses?,A) Left B) Right C) Toward the street D) Away from the camera,A,Action Perception
sample_330,100,What action does the individual on the right side of the street perform after moving down the cobblestone path?,"A) Continues walking without stopping  
B) Sits down on a bench  
C) Turns around and walks back  
D) Enters a nearby building",B,Action Perception
sample_342,100,What number appears at the top of the receipt shown during the sequence?,A) 200 B) 202 C) 210 D) 220,D,Text-Rich Understanding
sample_349,100,"After wrapping the burger, in which direction does the person move the wrapped item?",A) Left B) Right C) Up D) Down,B,Action Perception
sample_5,110,What sequence of numbers appears directly below the score on the match scoreboard?,A) 1 2 3 4 5 B) 1 2 3 4 C) 1 2 3 D) 1 2,A,Text-Rich Understanding
sample_7,110,What number is displayed on the back of the player's jersey as he runs toward the ball to take the penalty kick?,A) 10 B) 12 C) 20 D) 22,C,Text-Rich Understanding
sample_8,110,What is the number on the back of the player's white jersey in the close-up shot?,A) 2 B) 3 C) 5 D) 7,B,Text-Rich Understanding
sample_13,110,What ingredient is visible in the small white bowl placed near the cutting board?,A) Sliced almonds B) Chopped garlic C) Sunflower seeds D) Sesame seeds,A,Object Perception
sample_30,110,What phrase is visible on the wall sign behind the woman in the initial scene?,A) FAMILY IS ALWAYS B) HOME SWEET HOME C) LOVE WINS D) HAPPY HOME,A,Text-Rich Understanding
sample_37,110,What time setting is indicated by the kitchen timer visible on the counter?,A) 5 minutes B) 10 minutes C) 20 minutes D) 30 minutes,C,Text-Rich Understanding
sample_67,110,What brand name is visible on the marker being used in the video?,A) Cricut B) Crayola C) Sharpie D) Pilot,A,Text-Rich Understanding
sample_78,110,"What year is listed next to ""Raiders of the Lost Ark"" on the whiteboard?",A) 1979 B) 1981 C) 1987 D) 1992,B,Text-Rich Understanding
sample_84,110,"What year is specified in parentheses after ""Pride + Prejudice"" in the viewing assignment section of the whiteboard?",A) 1995 B) 2003 C) 2005 D) 2007,C,Text-Rich Understanding
sample_87,110,How is the microphone placement distance specified on the whiteboard?,"A) 6-12 from source
B) 6""-12"" from source
C) 6 to 12 inches from source
D) 6 to 12 cm from source",B,Text-Rich Understanding
sample_138,110,What color is the handle of the paintbrush being used?,A) White B) Pink C) Light purple D) Blue,C,Attribute Perception
sample_144,110,What text appears at the bottom of the exercise panels in the video?,A) (BOOST REPS TO 3-5) B) (BOOST REPS TO 4-6) C) (BOOST SETS TO 4-6) D) (INCREASE REPS TO 4-6),B,Text-Rich Understanding
sample_154,110,What pattern is visible on the man’s waistcoat when he moves his arms?,A) Solid white B) Striped C) Floral D) Polka dots,C,Attribute Perception
sample_156,110,What color is the small container on the table that has gray items placed upon it?,A) Red B) Brown C) Orange D) Yellow,C,Attribute Perception
sample_166,110,What is the current distance reading displayed on the screen in the latest frame?,"A) 26.0 KM  
B) 26 J KM  
C) 26.1 KM  
D) 26.2 KM",C,Text-Rich Understanding
sample_181,110,What is the name of the building visible on the right side of the street during the cycling event?,A) Boxley Building B) Bradley Building C) Baxley Building D) Buckley Building,A,Object Perception
sample_187,110,"What tool is the player currently holding, as indicated by the item name displayed on the screen?",A) Sword B) Pickaxe C) Shears D) Axe,C,Text-Rich Understanding
sample_193,110,What phrase appears as text overlay when the player is holding a pickaxe?,"A) ""a bunch of iron ore"" B) ""a bunch of coal ore"" C) ""a bunch of copper ore"" D) ""a bunch of gold ore""",C,Text-Rich Understanding
sample_217,110,How many yellow arrows point downward to the numbers in the data set?,A) 4 B) 5 C) 3 D) 6,B,Counting
sample_241,110,What is interacting with the wardrobe door during the sequence?,"A) A hand  
B) A book  
C) A lamp  
D) A tennis racket",A,Action Perception
sample_252,110,What brand name is visible on the driver's racing gloves?,A) OMP B) Sparco C) Alpinestars D) Puma,B,Text-Rich Understanding
sample_255,110,What does the subtitle state during the replay sequence?,"A) Pass success for the Korean team  
B) Pass miss for the Korean team  
C) Pass error by US team  
D) Goal replay confirmed",B,Text-Rich Understanding
sample_258,110,What is the jersey number of the player in the blue and yellow uniform running near the sideline during the replay sequence?,A) 14 B) 41 C) 47 D) 74,B,Attribute Perception
sample_259,110,What text appears on screen during the sequence?,A) Goal! B) Save! C) Assist! D) Score!,B,Text-Rich Understanding
sample_282,110,What department names are visible on the building sign to the left of the entrance?,"A) Radiology, Ultrasound, Endoscopy, Medical Physics, Emergency Room
B) Radiology, Cardiology, Oncology, Neurology, Emergency Department
C) Imaging, Diagnostics, Treatment, Emergency, Pharmacy
D) X-ray, Ultrasound, MRI, CT Scan, Emergency",A,Text-Rich Understanding
sample_283,110,What symbol is displayed on the building above the entrance?,A) A shield B) A star C) A circle D) A triangle,A,Object Perception
sample_289,110,What time is displayed on the smartphone screen visible in the game interface?,A) 17:29 B) 17:30 C) 17:31 D) 18:00,B,Text-Rich Understanding
sample_290,110,What is the speed value shown on the vehicle's speedometer at the moment it first decreases?,A) 075 B) 074 C) 076 D) 073,B,Text-Rich Understanding
sample_291,110,What is the current speed value displayed on the vehicle's dashboard interface?,A) 000 B) 001 C) 007 D) 010,B,Text-Rich Understanding
sample_303,110,What administrative region of France is explicitly mentioned in the text on the side of the train at the station?,"A) Provence-Alpes-Côte d'Azur  
B) Brittany  
C) Hauts-de-France  
D) Normandy",C,Text-Rich Understanding
sample_307,110,What is the Japanese text written on the road in the direction of the camera's movement?,A) 歩行者  B) 止まれ  C) 進入禁止  D) 車両,B,Text-Rich Understanding
sample_311,110,What brand logo is visible on the chest of the man wearing a dark shirt and an orange strap in the foreground?,A) Nike B) Adidas C) Under Armour D) Puma,C,Text-Rich Understanding
sample_312,110,What eyewear is worn by the man in the blue shirt on the left side of the walkway?,"A) Sunglasses  
B) Regular glasses  
C) No eyewear  
D) A visor",A,Attribute Perception
sample_313,110,What is the text visible on the parking space marker in the foreground?,A) RESERVED N 1-19 B) RESERVED M 1-19 C) RESERVED N 1-20 D) RESERVED P 1-19,A,Text-Rich Understanding
sample_351,110,What brand name is printed on the blue milk carton visible on the counter?,A) WILD OATS B) WHOLE FOODS C) WILD DAIRY D) OATS WILD,A,Text-Rich Understanding
sample_352,110,What brand name is visible on the green cleaning product bottle near the sink?,A) Fairy B) Ajax C) Dawn D) Palmolive,A,Text-Rich Understanding
sample_354,110,What number is displayed on the digital scale in the final frame of the video?,A) 16.5  B) 17.0  C) 17.5  D) 18.0,C,Text-Rich Understanding
sample_374,110,What color is the most prominent car visible through the window in the background?,A) Red B) Black C) Blue D) White,B,Attribute Perception
sample_384,110,What street number is shown on the street sign visible on the left side of the road as the vehicle approaches the intersection?,A) 31st St B) 32nd St C) 33rd St D) 34th St,C,Text-Rich Understanding
sample_386,110,What text is visible on the side of the white van positioned near the crosswalk?,A) POLICE B) AMBULANCE C) EMERGENCY D) SECURITY,A,Text-Rich Understanding
sample_388,110,What brand name is prominently displayed on the large central billboard above the street?,A) Budweiser B) Bud Light C) Coors Light D) Miller Lite,B,Text-Rich Understanding
sample_405,110,What color is the cutting board being used by the bartender in the bar scene?,A) Red B) Green C) Blue D) Black,B,Attribute Perception
sample_435,110,What color is the nail polish on the pilot's visible fingers?,A) Red B) Blue C) Black D) Clear,B,Attribute Perception
sample_436,110,What phrase is printed on the white product boxes displayed on the shelf in the grocery aisle?,A) Lek med maten  B) Leak med maten  C) Lek med makan  D) Lek med mat,A,Text-Rich Understanding
sample_439,110,What is the exact word printed on the front of the red and white product boxes being handled?,A) MJOLK B) MJÖLK C) MILK D) MJOL,B,Text-Rich Understanding
sample_442,110,What is the price of the crème fraîche product displayed on the refrigerated case?,A) 15.00 B) 15.50 C) 15.90 D) 16.50,B,Text-Rich Understanding
sample_446,110,What brand name is printed on the green boxes in the scene?,"A) Bregot  
B) Bregott  
C) Brego  
D) Bregott",B,Text-Rich Understanding
sample_448,110,What number is printed on the shelf label during the item placement action?,A) 14 B) 15 C) 16 D) 17,B,Text-Rich Understanding
sample_451,110,What is the name of the store visible on the left side of the street in the final frame?,A) TELSTRA B) OPTUS C) VODAFONE D) WOOLWORTHS,B,Text-Rich Understanding
sample_453,110,What color is the driver's shirt?,A) White B) Blue C) Red D) Black,B,Attribute Perception
sample_455,110,What word is visible on the road marking as the vehicle approaches the intersection?,A) ONLY B) LANE C) EXIT D) STOP,A,Text-Rich Understanding
sample_473,110,What color are the shoes of the person standing on the white platform in the background?,A) Blue B) Pink C) Red D) Black,C,Attribute Perception
sample_479,110,How many circular artworks are displayed on the wall in the background?,A) 8 B) 10 C) 12 D) 15,C,Counting
sample_7,110,What is the jersey number of the player taking the penalty kick?,A) 25 B) 28 C) 20 D) 22,C,Text-Rich Understanding
sample_8,110,What is the number on the player's white jersey during the close-up shot?,A) 2 B) 3 C) 5 D) 8,B,Text-Rich Understanding
sample_20,110,What detail is visible on the neckline of the woman's white top?,"A) A V-shaped design with no fasteners  
B) Small buttons down the front  
C) A decorative trim  
D) A zipper",B,Attribute Perception
sample_51,110,What color is the cap of the newly introduced bottle that appears in the second frame?,A) White B) Gold C) Silver D) Brown,B,Attribute Perception
sample_59,110,What text is entered in the search field to filter the materials list?,A) Foil B) Cardstock C) Chrome D) Poster,A,Text-Rich Understanding
sample_62,110,What text is visible on the blue cutting mat during the sequence?,"A) AirSoft 800 Nitrile Gloves  
B) AirSoft 900 Nitrile Gloves  
C) Nitrile Gloves 900 AirSoft  
D) SoftAir 900 Nitrile Gloves",B,Text-Rich Understanding
sample_67,110,Which brand name is printed on the white marker used by the person in the video?,A) Sharpie B) Cricut C) Crayola D) Pilot,B,Text-Rich Understanding
sample_3,110,Which player is shown entering the field as a substitute during the substitution sequence?,A) Raphinha B) Fermín C) Pedri D) Gavi,B,Action Perception
sample_7,110,What is the jersey number of the player taking the penalty kick?,A) 5 B) 10 C) 20 D) 25,C,Attribute Perception
sample_28,110,In which direction does the person turn their head during the video sequence?,"A) Left  
B) Right  
C) Up  
D) Down",B,Action Perception
sample_66,110,What tool is used to transfer the gold flakes into the small container during the process?,"A) Fingers  
B) Tweezers  
C) Wooden stick  
D) Metal spatula",C,Object Perception
sample_86,110,What is the sequence of hand gestures the speaker makes while explaining the content?,"A) Open hands → Pointing → Hands together → Open hands
B) Pointing → Open hands → Hands together → Pointing
C) Hands together → Open hands → Pointing → Hands together
D) Open hands → Hands together → Pointing → Open hands",A,Action Perception
sample_156,110,What part of the man's attire does the servant assist in adjusting during the sequence?,"A) Shirt collar  
B) Cravat  
C) Waistband  
D) Coat sleeves",C,Action Perception
sample_195,110,Which item name appears on screen as the player enters the water in the video?,A) Netherite Sword B) Diamond Sword C) Enchanted Sword D) Iron Sword,A,Text-Rich Understanding
sample_224,110,"As the person begins explaining the triangles, what is the change in hand position observed during the initial gestures?","A) From open palms to hands clasped together  
B) From hands clasped to open palms  
C) From hands raised to hands lowered  
D) No change in position",A,Action Perception
sample_255,110,What event is indicated as the reason for the replay?,"A) Goal by US team  
B) Pass miss by Korean team  
C) Foul on the field  
D) Offside call",B,Action Perception
sample_290,110,What change occurs in the numerical value displayed on the left side of the screen during the sequence?,A) Increases by 1 B) Decreases by 1 C) Stays the same D) Fluctuates randomly,B,Action Perception
sample_318,110,What is the direction of the dinosaur's head movement throughout the sequence?,A) Upward B) Downward C) Left D) Right,B,Action Perception
sample_326,110,In which direction is the woman walking relative to the camera's position?,A) Towards the camera B) Away from the camera C) To the left D) To the right,B,Spatial Understanding
sample_328,110,What interaction occurs between the two individuals as they walk down the alley?,"A) They wave to each other  
B) They hold hands  
C) They point at buildings  
D) They walk separately without interaction",B,Action Perception
sample_341,110,In which direction is the green tray moved during the sequence?,A) Left B) Right C) Up D) Down,A,Action Perception
sample_390,110,Which color of vehicle enters the frame from the right side and moves forward during the sequence?,A) Black B) White C) Red D) Blue,B,Attribute Perception
sample_404,110,What action does the person perform with the first bottle before taking a second bottle?,"A) Placing it into the refrigerator  
B) Shaking it  
C) Opening it  
D) Putting it on the floor",A,Action Perception
sample_453,110,In which direction does the driver turn the steering wheel during the sequence?,A) Left B) Right C) No turn D) Alternating left and right,B,Action Perception
sample_472,110,What action does the person in the black suit perform as the camera pans right?,A) Standing still B) Walking away C) Crouching down D) Raising their hand,C,Action Perception
sample_477,110,"As the camera zooms in on the bust with the starry night section, what phrase becomes legible on its neck?","A) WE ARE ALL IN THIS TOGETHER  
B) TOGETHER WE ARE STRONG  
C) ALL TOGETHER NOW  
D) WE STAND TOGETHER",A,Text-Rich Understanding
sample_6,120,What is the number on the back of the goalkeeper's yellow jersey?,A) 0 B) 1 C) 7 D) 9,B,Text-Rich Understanding
sample_15,120,What is written on the small white sign located on the left kitchen shelf?,A) HOT B) COLD C) NOT D) GO,A,Text-Rich Understanding
sample_25,120,What color is the small appliance on the kitchen counter behind the stove?,A) Black B) Silver C) White D) Red,C,Attribute Perception
sample_26,120,What brand name is visible on the black box in the background?,A) Google B) YouTube C) Amazon D) Netflix,B,Text-Rich Understanding
sample_38,120,What word is displayed on the red sign on the shelf in the background?,A) LOVE B) HOME C) COOK D) EAT,C,Text-Rich Understanding
sample_49,120,What color is the sticker being applied to the square paper during the crafting process?,A) Red B) Blue C) Green D) Purple,B,Attribute Perception
sample_60,120,What text is displayed in the logo visible in the corner of the video during the sequence?,"A) CRAFT TUTORIALS  
B) DIY CRAFT TUTORIALS  
C) TUTORIALS ONLY  
D) DIY TUTORIALS",B,Text-Rich Understanding
sample_77,120,"What year is specified for the film ""The Elephant Man"" in the viewing assignment on the whiteboard?",A) 1979 B) 1981 C) 1980 D) 1982,C,Text-Rich Understanding
sample_78,120,"What year is listed in parentheses next to the movie title in the ""VIEWING"" section of the whiteboard?",A) 1979 B) 1981 C) 1983 D) 1985,B,Text-Rich Understanding
sample_83,120,"What year is displayed next to ""The Hudsucker Proxy"" on the whiteboard?",A) 1993 B) 1994 C) 1995 D) 1996,B,Text-Rich Understanding
sample_84,120,"What year is specified in parentheses for the viewing assignment ""Pride & Prejudice"" on the whiteboard?",A) 1995 B) 2000 C) 2005 D) 2010,C,Text-Rich Understanding
sample_91,120,"What year is specified for the ""BONNIE & CLYDE"" viewing assignment on the whiteboard?",A) 1967 B) 1972 C) 1969 D) 1975,A,Text-Rich Understanding
sample_93,120,"What year is specified in parentheses after ""THE SOCIAL NETWORK"" on the whiteboard?",A) 2008 B) 2009 C) 2010 D) 2011,C,Text-Rich Understanding
sample_96,120,"What year is specified for the documentary ""Hoop Dreams"" in the viewing assignment on the whiteboard?",A) 1992 B) 1994 C) 1996 D) 1998,B,Text-Rich Understanding
sample_138,120,Which of the following describes the presence and location of jewelry on the hand holding the paintbrush?,"A) A ring is present on the ring finger  
B) No jewelry is visible on the hand  
C) A ring is present on the middle finger  
D) A ring is present on the index finger",A,Attribute Perception
sample_151,120,What color are the tips of the laces on the corset?,A) Black B) Silver C) Gold D) White,C,Attribute Perception
sample_163,120,What color are the bicycle's wheel rims visible during the descent?,A) Black  B) Silver  C) Yellow  D) Red,C,Attribute Perception
sample_165,120,What is the altitude value displayed in the final frame?,A) 279.7 m B) 280.2 m C) 280.3 m D) 280.5 m,C,Text-Rich Understanding
sample_179,120,"According to the display in the video, what is the power output when the distance marker shows 6543 m?",A) 150 W B) 250 W C) 326 W D) 438 W,B,Text-Rich Understanding
sample_196,120,What color is the entity near the yellow bed on the left side of the scene?,A) Blue B) Purple C) Red D) Green,B,Attribute Perception
sample_229,120,What symbol appears immediately to the left of the number 264 at the start of the division process?,A) + (plus sign) B) × (multiplication symbol) C) ÷ (division symbol) D) No symbol,B,Text-Rich Understanding
sample_254,120,What brand name is displayed on the yellow and black sign positioned near the right side of the trail in the forested section?,A) OAKLEY B) ROCKET C) RIDE D) SKY,A,Text-Rich Understanding
sample_257,120,What text appears on the screen during the sequence?,A) Open B) Start C) Close D) Stop,C,Text-Rich Understanding
sample_259,120,What is the Korean text displayed on the screen during the play?,A) 고바우 수비의 빠른 커버 B) 고바우 공격의 빠른 커버 C) 고바우 수비의 빠른 패스 D) 고바우 수비의 빠른 슛,A,Text-Rich Understanding
sample_261,120,What number is visible on the document placed on the right side of the dashboard?,A) 100 B) 200 C) 300 D) 400,A,Text-Rich Understanding
sample_266,120,What is the gear number displayed on the dashboard during the third frame of the sequence?,A) 4 B) 5 C) 6 D) 3,B,Text-Rich Understanding
sample_284,120,How many months has the subscriber been subscribed according to the notification message visible in the chat?,A) 57 months B) 75 months C) 51 months D) 70 months,A,Text-Rich Understanding
sample_291,120,What specific phrase appears in red text in the chat message during the sequence?,"A) YOU'RE STILL
B) YOUR STILL
C) YOU ARE STILL
D) STILL HERE",A,Text-Rich Understanding
sample_292,120,"At the moment the vehicle initiates a sharp left turn onto a side street, what three-digit number is displayed in the game's UI element located in the bottom-left corner?",A) 000 B) 001 C) 007 D) 011,B,Text-Rich Understanding
sample_301,120,How many street lamps are visible along the pathway and road?,A) 2 B) 3 C) 4 D) 5,B,Counting
sample_304,120,What is visible in the storefront window on the left side of the street?,"A) A rainbow-colored design B) A red sale sign C) A black and white photograph D) A yellow ""Open"" sign",A,Object Perception
sample_308,120,What is the full name of the store visible on the right side of the street?,A) ILLUMIN B) ILLUMINATION C) ILLUMINATI D) ILLUMINATE,B,Text-Rich Understanding
sample_326,120,What color are the shoes worn by the woman walking on the path?,A) Black B) Brown C) Beige D) White,D,Attribute Perception
sample_331,120,What is the number displayed on the front of the white bus in the left lane?,A) 197 B) 179 C) 199 D) 177,A,Text-Rich Understanding
sample_352,120,What is the brand name printed on the green bottle located on the counter beside the sink?,A) DAWN B) AJAX C) FAIRY D) PERSIL,C,Text-Rich Understanding
sample_356,120,What text is printed below the electrical outlet on the wall?,A) 240V B) BS 1363 C) 13A D) 50Hz,B,Text-Rich Understanding
sample_364,120,What number is displayed on the digital scale near the coffee preparation area?,A) 984 B) 964 C) 894 D) 994,A,Text-Rich Understanding
sample_368,120,What words are clearly visible on the sign in the background of the café setting?,A) BISCUITS and FAVOURITE B) COOKIES and BEST C) CAKE and CHOCOLATE D) COFFEE and TEA,A,Text-Rich Understanding
sample_385,120,What is the last character on the license plate of the black SUV in the center?,A) G B) 6 C) C D) Q,C,Text-Rich Understanding
sample_386,120,What pattern is visible on the backpack of the pedestrian crossing from left to right?,A) Leopard print B) Striped C) Polka dots D) Solid color,A,Attribute Perception
sample_390,120,What text is visible on the side of the yellow taxi in the right lane?,A) UTAH B) JUTAH C) TAXI D) NEW YORK,B,Text-Rich Understanding
sample_409,120,What is the brand name printed on the plastic container?,A) Araven B) Draven C) Raven D) Aven,A,Text-Rich Understanding
sample_444,120,What percentage is printed on the front of the dairy product cartons being arranged?,A) 0.5% B) 1.5% C) 2.0% D) 5.0%,A,Text-Rich Understanding
sample_448,120,What is the price listed on the shelf label for the product?,A) 33.00 B) 33.50 C) 35.50 D) 30.50,B,Text-Rich Understanding
sample_450,120,What number is printed on the receipt attached to the left side of the dashboard?,A) 1154 B) 1155 C) 1145 D) 1164,A,Text-Rich Understanding
sample_459,120,What is the make of the white pickup truck visible on the left side of the road?,A) Ford B) Toyota C) Chevrolet D) Nissan,B,Attribute Perception
sample_462,120,What is the name displayed on the plaque above the painting of the woman in the pink ruffled dress?,A) TERESA BARNARD B) TEREZA BARNARD C) THERESA BERNARD D) TERESA BERNARD,B,Text-Rich Understanding
sample_474,120,"What location information is displayed on the blue sign featuring ""ARTTIME 1305""?","A) NEW YORK, USA | LONDON, UK  
B) PARIS, FRANCE | TOKYO, JAPAN  
C) DUBAI, UAE | ABIDJAN, CÔTE D'IVOIRE  
D) SHANGHAI, CHINA | SYDNEY, AUSTRALIA",C,Text-Rich Understanding
sample_483,120,"How many exclamation marks follow the text ""RC RC RC"" on the left side of the screen?",A) 1 B) 2 C) 3 D) 4,C,Counting
sample_7,120,"During the sequence where the goalkeeper adjusts his gloves, what color is the wristband visible on his gloves?",A) Red  B) Blue  C) Orange  D) White,C,Attribute Perception
sample_49,120,"In the sequence of actions, what color is the circular paper piece that the person places on the surface last?",A) Blue B) Pink C) Purple D) Gray,C,Attribute Perception
sample_57,120,What color is the sleeve visible on the person's arm during the stirring action?,A) Black B) White C) Gray D) Blue,C,Attribute Perception
sample_99,120,"During the explanation, in which direction do the speaker’s hands move?","A) Inward toward the chest  
B) Outward away from the body  
C) Upward in front of the face  
D) Downward toward the waist",B,Action Perception
sample_145,120,What object does the runner drop during his run?,A) a red cap B) a blue water bottle C) a yellow cone D) a black phone,B,Object Perception
sample_165,120,What change occurs in the gradient percentage (NEIGUNG) during the sequence?,"A) Increases from 12% to 13%  
B) Stays constant at 13%  
C) Decreases from 13% to 12%  
D) Fluctuates between 11% and 13%",C,Text-Rich Understanding
sample_185,120,What is the highest value displayed in the blue circular gauge during the sequence?,A) 23 B) 24 C) 25 D) 26,C,Attribute Perception
sample_199,120,What color is the flower that becomes visible on the ground as the player moves forward through the forest?,A) Red B) Yellow C) Blue D) White,B,Attribute Perception
sample_217,120,What text replaces the initial label next to the bar graph during the sequence?,"A) different numbers  
B) different heights  
C) different colors  
D) different shapes",B,Text-Rich Understanding
sample_243,120,How does the bowl on the table change throughout the video?,"A) It starts on fire and then extinguishes  
B) It remains unchanged with no fire  
C) It catches fire in the middle frames  
D) It catches fire in the final frames",B,Action Perception
sample_289,120,"What app is displayed on the smartphone immediately before the one showing the ""Check Out"" button?",A) Facebook B) Twitter C) Instagram D) TikTok,B,Object Perception
sample_316,120,What type of structure does the bus pass immediately after the brick building?,"A) A stone building with arches  
B) A concrete wall with multiple windows  
C) A metal fence  
D) A wooden structure",B,Spatial Understanding
sample_342,120,How many hands are visible as the person reaches toward the food display?,A) 1 B) 2 C) 3 D) 0,B,Counting
sample_7,130,What is the jersey number of the player in the light blue and white striped uniform seen in the final frame?,A) 10 B) 16 C) 18 D) 19,D,Attribute Perception
sample_62,130,What text appears on the small green label located on the front of the respirator mask?,"A) 3M  
B) LA  
C) A  
D) 1A",B,Text-Rich Understanding
sample_67,130,How many lines are visible on the basketball sticker being handled in the video?,A) 2 B) 3 C) 4 D) 5,C,Counting
sample_75,130,"What year is shown in parentheses in the ""VIEWING"" section of the whiteboard?",A) (1939) B) (1949) C) (1959) D) (1969),C,Text-Rich Understanding
sample_76,130,What pattern is visible on the woman’s skirt during the scene?,A) Striped B) Polka dots C) Floral D) Solid color,C,Attribute Perception
sample_77,130,"What year is specified in the ""Viewing"" section of the whiteboard?",A) 1964 B) 1970 C) 1979 D) 1980,D,Text-Rich Understanding
sample_97,130,"According to the whiteboard in the lesson, what frame rate is defined as ""low frame rate""?",A) UNDER 20FPS B) UNDER 24FPS C) UNDER 30FPS D) UNDER 60FPS,B,Text-Rich Understanding
sample_117,130,"How many core phases does the RTX 4080 SUPER (Founders Edition) have, as indicated by the label in the image?",A) 10 B) 11 C) 12 D) 13,B,Text-Rich Understanding
sample_139,130,How many fingers are visible holding the paintbrush?,A) 2 B) 3 C) 4 D) 5,B,Counting
sample_156,130,What color are the buttons on the person's trousers?,A) Silver B) Beige C) Gold D) Brown,C,Attribute Perception
sample_168,130,What speed limit sign is visible on the right side of the road at approximately 1.0 seconds into the video?,A) 25 B) 30 C) 40 D) 50,D,Text-Rich Understanding
sample_187,130,How many firework rockets are present in the player's currently selected hotbar slot?,A) 10 B) 11 C) 12 D) 13,C,Counting
sample_192,130,What is the quantity of paper displayed when hovering over the paper item in the chest inventory?,A) 10 B) 11 C) 12 D) 13,B,Counting
sample_197,130,How many wooden planks are visible in the player's inventory bar?,A) 25 B) 26 C) 27 D) 28,B,Counting
sample_202,130,How many studs are on the top surface of the blue Lego block?,A) 20 B) 24 C) 28 D) 32,B,Counting
sample_204,130,How many studs are visible on the green block to the left of the central red structure at the final frame?,A) 2 B) 3 C) 4 D) 5,C,Counting
sample_224,130,What is the first letter of the second word printed on the person's shirt?,A) A B) H C) M D) T,A,Text-Rich Understanding
sample_241,130,What color is the small emblem on the yellow container the man is holding?,A) Red B) Blue C) Green D) Black,A,Attribute Perception
sample_256,130,What color is the trim on the player's black shorts during the match?,A) Red B) Pink C) Blue D) White,B,Attribute Perception
sample_268,130,What is the text printed on the driver's right glove?,A) free  B) frem  C) freem  D) freemn,C,Text-Rich Understanding
