sample_id,start_time,question,std_answer,Frame,task_type
21,30,What is written on the small label on the cutting board?,BUTTER,Single,Text-Rich Understanding
40,30,What brand name is visible on the wooden cutting board?,Boos,Single,Text-Rich Understanding
42,30,What type of mushrooms are in the small bowl on the counter?,shiitake,Single,Object Perception
52,30,What brand name is printed on the paint containers?,British Paints,Single,Text-Rich Understanding
57,30,"What is the name of the font listed in the font selection panel that begins with ""Watercolor""?",Watercolor Brush Script,Single,Text-Rich Understanding
54,30,What word is printed on the green circular seal on the glove box?,APPROVED,Single,Text-Rich Understanding
22,30,What type of herb is sprinkled on top of the avocado slices in the dish?,chives,Single,Object Perception
67,30,What model name is printed on the machine's carriage?,CUT SMART 2,Single,Text-Rich Understanding
61,30,What is the dimension label displayed next to the square in the design software interface?,"3.111""",Single,Text-Rich Understanding
65,30,What is the name of the pattern file displayed in the layers panel?,Pattern01.svg,Single,Text-Rich Understanding
68,30,What is the text of the watermark in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
74,30,What is the sequence of letters in parentheses at the end of the lab assignment description on the whiteboard?,"A, B, A, B, A, B",Single,Text-Rich Understanding
75,30,What year is shown in parentheses at the end of the viewing assignment on the whiteboard?,1959,Single,Text-Rich Understanding
78,30,"What movie is listed under the ""VIEWING"" section on the whiteboard?",RAIDERS OF THE LOST ARK (1981),Single,Text-Rich Understanding
87,30,"What year is listed next to ""VIEWING: SUNSET BLVD."" on the whiteboard?",1950,Single,Text-Rich Understanding
89,30,"What movie is listed under ""VIEWING"" on the whiteboard?",Singin' in the Rain,Single,Text-Rich Understanding
92,30,What is written on the sign on the left wall in the office meeting room?,Wall of Fame,Single,Text-Rich Understanding
95,30,What is the title of the viewing assignment listed on the whiteboard?,GRIZZLY MAN (2005),Single,Text-Rich Understanding
102,30,What is the minimum number of camera distances required for the silent film project?,four,Single,Counting
80,30,What is the specific instruction given in the lab assignment regarding the number of photos to take?,TAKE 2 PHOTOS UTILIZING THE TWO,Single,Text-Rich Understanding
101,30,What are the three items marked with checkmarks at the bottom of the whiteboard?,"TREATMENT, SCRIPT, STORYBOARD",Single,Text-Rich Understanding
105,30,What is the text printed on the right graphics card?,RTX 4070 SUPER,Single,Text-Rich Understanding
93,30,What year is specified in the viewing assignment on the whiteboard?,2010,Single,Text-Rich Understanding
115,30,What model number is displayed on the graphics card?,RTX 4070,Single,Text-Rich Understanding
104,30,What is the license plate of the car?,OPTIMUM,Single,Text-Rich Understanding
143,30,What is the author's name displayed on the book cover?,JEFF NIPPARD,Single,Text-Rich Understanding
148,30,"What character appears between ""STRETCH"" and ""TENSION"" in the first point of the text box?",&,Single,Text-Rich Understanding
121,30,What is the number of CUDA Cores for the RTX 4080 16GB graphics card?,9728,Single,Text-Rich Understanding
126,30,What brand name is visible on the brown pencil lying on the table?,FABER-CASTELL,Single,Text-Rich Understanding
117,30,What is the percentage increase for CUDA in the RTX 4070 Ti SUPER model?,10%,Single,Text-Rich Understanding
128,30,What type of bird is depicted by the figurine on the table?,kingfisher,Single,Object Perception
149,30,"What word is enclosed in parentheses next to ""WARM-UP SET 4: ~90% WORKING WEIGHT X 1 REP"" in the example warm-up pyramid text?",optional,Single,Text-Rich Understanding
156,30,What is visible outside the window?,trees,Single,Object Perception
153,30,What pattern is visible on the man's suspenders?,floral,Single,Attribute Perception
151,30,What texture is visible on the woman's stockings?,ribbed,Single,Attribute Perception
150,30,What is the title of the book under the globe on the desk?,ESSENTIALS OF STRENGTH TRAINING AND CONDITIONING,Single,Text-Rich Understanding
162,30,What is the number on the side of the ambulance?,29016,Single,Text-Rich Understanding
158,30,"What is the text on the poster located to the right of the ""CARNABY STREET"" sign in the room?",VOGUE,Single,Text-Rich Understanding
179,30,What word is printed on the back of the cyclist's jersey in the group?,UNITED,Single,Text-Rich Understanding
180,30,What is the height value displayed in the top right corner of the screen at the start of the video?,355.8,Single,Text-Rich Understanding
175,30,What is the number on the back of the cyclist wearing the black outfit?,894,Single,Text-Rich Understanding
124,30,What number is on the white bottle placed on the table?,100,Single,Text-Rich Understanding
189,30,What version number is mentioned in the video title?,1.18,Single,Text-Rich Understanding
183,30,What text is displayed on the left side of the screen during the cycling event?,PERFORMANCE BICYCLE,Single,Text-Rich Understanding
181,30,What is the number on the cyclist's bike in the foreground during the race?,848,Single,Text-Rich Understanding
192,30,What is the player's experience level number displayed in the center of the HUD?,17,Single,Text-Rich Understanding
186,30,What is the experience level displayed in the HUD?,37,Single,Text-Rich Understanding
193,30,What is the number displayed next to the water bucket in the player's hotbar?,52,Single,Text-Rich Understanding
237,30,How many rungs does the ladder in the background have?,4,Single,Counting
252,30,What brand name is visible on the driver's gloves?,Sparco,Single,Text-Rich Understanding
233,30,What number is on the back of the rabbit's shirt?,4,Single,Text-Rich Understanding
262,30,What brand name is visible on the yellow tag attached to the steering wheel?,Sabelt,Single,Text-Rich Understanding
268,30,What text is visible on the driver's left glove?,freem,Single,Text-Rich Understanding
200,30,What number is displayed in the hotbar slot containing the bread item?,33,Single,Text-Rich Understanding
264,30,What text is displayed in the top right corner of the video frame?,/AutoTopNL,Single,Text-Rich Understanding
274,30,What is the group name displayed on the phone screen in the video?,Gruppe 6,Single,Text-Rich Understanding
198,30,What number is displayed on each stack of emeralds in the chest?,64,Single,Text-Rich Understanding
272,30,What duration is specified in the subscription message displayed in the chat panel?,20 months,Single,Text-Rich Understanding
275,30,What does the red sign on the wall say?,NO TRESPASSING VIOLATORS WILL BE PROSECUTED,Single,Text-Rich Understanding
265,30,What text is printed on the black box being held?,MADE IN JAPAN,Single,Text-Rich Understanding
276,30,What is the name of the street intersection displayed in the game interface?,Power St & San Andreas Ave,Single,Text-Rich Understanding
278,30,What is the name of the street intersection displayed in the game's compass area?,Crusade Rd & Innocence Blvd,Single,Text-Rich Understanding
281,30,What color is the safety vest worn by the character in the center of the scene?,orange,Single,Attribute Perception
284,30,What word is written on the side of the dark van?,grime,Single,Text-Rich Understanding
298,30,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
303,30,What is the website address displayed on the side of the train?,www.hautsdefrance.fr,Single,Text-Rich Understanding
302,30,What number is displayed on the stone wall?,3536,Single,Text-Rich Understanding
314,30,What text is visible on the black banner in the background?,Harry Potter,Single,Text-Rich Understanding
285,30,What time is displayed on the in-game clock interface?,10:39,Single,Text-Rich Understanding
318,30,What is the name displayed on the sign in the background of the scene?,JURASSIC WORLD,Single,Text-Rich Understanding
306,30,What does the red sign on the street pole state?,NO STANDING,Single,Text-Rich Understanding
309,30,What is the name of the ice cream shop visible in the scene?,BUSTER'S BUSTERS,Single,Text-Rich Understanding
305,30,What is the name of the store visible on the building to the right?,LEGO,Single,Text-Rich Understanding
330,30,What color is the top worn by the person sitting on the bench?,black,Single,Attribute Perception
322,30,What does the sign on the right side of the escalator say?,HOLD THE HANDRAIL,Single,Text-Rich Understanding
332,30,What is the text on the store sign visible on the right side of the street?,M&S,Single,Text-Rich Understanding
331,30,What is the number displayed on the side of the bus?,2104,Single,Text-Rich Understanding
336,30,What Chinese character is displayed on the digital sign to the right of the clock tower?,中,Single,Text-Rich Understanding
349,30,What number is printed on the receipt held in the hand?,198,Single,Text-Rich Understanding
362,30,What two letters are visible on the milk carton in the background?,LY,Single,Text-Rich Understanding
374,30,What brand name is visible on the hot dog package being handled?,SABRETT,Single,Text-Rich Understanding
365,30,What text is printed on the saucer?,ANYA CAFE,Single,Text-Rich Understanding
364,30,What number is displayed on the digital scale?,98.5,Single,Text-Rich Understanding
370,30,What brand name is visible on the yellow carton in the background?,RUDE HEALTH,Single,Text-Rich Understanding
402,30,What word is written on the back of the yellow bus?,HYBRID,Single,Text-Rich Understanding
393,30,"What text is written below the word ""STOP"" on the right-side stop sign?",ALL TRAFFIC,Single,Text-Rich Understanding
396,30,What is the name of the street displayed on the green street sign?,E 63 ST,Single,Text-Rich Understanding
388,30,What brand name is displayed on the central vertical billboard in the street scene?,TOSHIBA,Single,Text-Rich Understanding
384,30,What is the license plate number of the yellow taxi in the foreground on the left side?,6011c,Single,Text-Rich Understanding
356,30,What type of milk is in the carton on the counter?,Oat,Single,Object Perception
414,30,What does the sign hanging above the shelves indicate?,canned fruit,Single,Text-Rich Understanding
423,30,What brand name is printed on the black bag placed on the helicopter seat?,Bose,Single,Text-Rich Understanding
405,30,What color is the small container on the bar counter near the ice bucket?,blue,Single,Attribute Perception
438,30,What brand name is printed on the green boxes stacked in the warehouse?,Bregott,Single,Text-Rich Understanding
443,30,What is the product name written on the price tag below the shelf?,CREME FRAICHE,Single,Text-Rich Understanding
453,30,What is the text displayed on the black panel above the steering wheel?,E6001,Single,Text-Rich Understanding
446,30,What number is displayed on the shelf label in the aisle?,15,Single,Text-Rich Understanding
464,30,What color are the additional leaves on the left artwork?,green,Single,Attribute Perception
448,30,What is the numerical value displayed on the shelf price tag adjacent to the white product boxes?,34,Single,Text-Rich Understanding
440,30,What is the price of the HALLON product on the shelf?,25.95,Single,Text-Rich Understanding
463,30,What is the name on the black sign on the left wall?,Denis Sarazhin,Single,Text-Rich Understanding
457,30,What number is displayed on the rear electronic display of the yellow bus?,50,Single,Text-Rich Understanding
458,30,What is the speed limit displayed on the circular sign located on the left side of the road in the initial frame?,60,Single,Text-Rich Understanding
474,30,What text is displayed on the small sign next to the circular artwork on the right?,LEE J.I.,Single,Text-Rich Understanding
483,30,What text is visible in the top left corner of the video?,RC RC RC!!!,Single,Text-Rich Understanding
472,30,What color is the outfit of the smallest figure in the rightmost painting?,yellow,Single,Attribute Perception
488,30,What is the text on the blue section of the orange race car's side?,Blink,Single,Text-Rich Understanding
476,30,What brand name is displayed on the central red typewriter?,CORONA,Single,Text-Rich Understanding
487,30,What text is visible on the side of the yellow race car with number 56?,Fiber Fuel,Single,Text-Rich Understanding
491,30,"What punctuation marks follow the text ""RC RC RC"" in the top-left corner of the video?",!!!,Single,Text-Rich Understanding
1,40,What is the time displayed on the scoreboard in the top left corner of the screen?,15:26,Single,Text-Rich Understanding
3,40,What is the second line of text on the advertising board behind the goal?,MÉS QUE UN CLUB,Single,Text-Rich Understanding
3,50,What is the hashtag displayed at the bottom right of the screen during the match?,#BarcaSevillaFC,Single,Text-Rich Understanding
1,50,What are the team abbreviations shown on the scoreboard in the top left corner?,SEV and BAR,Single,Text-Rich Understanding
3,60,What year is displayed on the advertising board behind the goal during the match?,2024,Single,Text-Rich Understanding
8,60,What text is visible on the player's armband?,RESPECT,Single,Text-Rich Understanding
5,50,What is the jersey number of the player in the yellow uniform preparing to take the penalty kick?,9,Single,Attribute Perception
6,40,"What symbol appears next to the ""FIFA"" text in the top right corner of the screen?",®,Single,Text-Rich Understanding
5,40,What is the number on the yellow jersey of the player standing near the ball before the kick?,9,Single,Text-Rich Understanding
8,50,What text is on the player's left arm band?,FOUNDATION,Single,Text-Rich Understanding
7,40,What is the name on the back of the player wearing the number 10 jersey?,MBAPPÉ,Single,Text-Rich Understanding
7,60,What is the number on the jersey of the player preparing to take the penalty kick?,10,Single,Text-Rich Understanding
15,60,What material is the small container the person is holding?,metal,Single,Attribute Perception
13,50,What word is displayed on the small sign attached to the white brick wall in the kitchen?,HOT,Single,Text-Rich Understanding
18,40,What color is the jar on the shelf to the right of the blue cabinet?,yellow,Single,Attribute Perception
11,40,What word is written in red on the wall behind the person?,cook,Single,Text-Rich Understanding
10,40,What number is on the small logo of the person's shirt?,7,Single,Text-Rich Understanding
18,50,What is the shape of the yellow pasta in the bowl?,fusilli,Single,Attribute Perception
19,50,What color is the small circle in the center of the frying pan?,orange,Single,Attribute Perception
20,50,What color is the teapot on the kitchen counter?,green,Single,Attribute Perception
26,60,What color is the substance on the spoon the man is holding?,red,Single,Attribute Perception
21,40,What is written on the label on the cutting board?,BUTTER,Single,Text-Rich Understanding
34,50,What color is the small bowl on the counter near the pot?,light blue,Single,Attribute Perception
43,40,What brand name is printed on the cutting board?,Boos,Single,Text-Rich Understanding
33,50,What word is written on the small sign on the brick wall?,HOT,Single,Text-Rich Understanding
21,50,What is written on the small sign placed on the cutting board?,BUTTER,Single,Text-Rich Understanding
6,60,What national emblem is on the lapel of the man in the gray suit?,Croatian,Single,Object Perception
43,60,What brand name is visible on the cutting board?,Boos,Single,Text-Rich Understanding
44,40,What word is written on the small sign on the kitchen wall?,HOT,Single,Text-Rich Understanding
44,50,What word is displayed in red letters on the shelf in the background?,Cook,Single,Text-Rich Understanding
43,50,What is the text displayed in the logo at the bottom right corner of the screen?,NEXT LEVEL KITCHEN,Single,Text-Rich Understanding
49,40,What is written on the green cutting mat?,cricut joy,Single,Text-Rich Understanding
51,40,What text is written on the bonus box SVG in the milestone disc template?,Baby's First Year,Single,Text-Rich Understanding
51,50,What text is written on the bonus box SVG in the milestone disc template advertisement?,Baby's First Year,Single,Text-Rich Understanding
54,60,What safety information is printed on the front of the RIYA MICA POWDER box?,NON-TOXIC | SKIN SAFE,Single,Text-Rich Understanding
49,60,What brand name is visible on the pen being used?,Cricut,Single,Text-Rich Understanding
50,40,What are the recommended tags for the image?,"lion, wild, panther, animal (example)",Single,Text-Rich Understanding
54,40,"What brand name is printed above ""HARDENER"" on the purple bottle?",DR. CRAFTY,Single,Text-Rich Understanding
57,60,What word is printed on the pink tubes in the craft supplies scene?,Glitter,Single,Text-Rich Understanding
57,50,What text is visible in the bottom right corner of the video frame?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
58,50,What text is displayed on the black component of the Cricut machine?,Cricut CUT SMART 2,Single,Text-Rich Understanding
59,40,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
59,60,What version number is displayed in the Cricut Design Space title bar?,v7.6.172,Single,Text-Rich Understanding
65,60,What is the name of the pattern layer in the design software's layers panel?,Pattern01.svg,Single,Text-Rich Understanding
62,50,What safety-related label is visible on the epoxy resin product box?,FOOD SAFE,Single,Text-Rich Understanding
69,40,What is the small text visible in the bottom right corner of the video?,CRAFT TUTORIALS,Single,Text-Rich Understanding
71,40,"What is the specific requirement listed under ""SHOULD INCLUDE"" about the rhythm of the edits?",RHYTHM OF THE EDITS SHOULD MATCH TEMPO,Single,Text-Rich Understanding
70,50,What is the first shape option listed in the shapes menu on the left sidebar?,Square,Single,Text-Rich Understanding
74,40,"What is the last word in the ""VIEWING"" line on the whiteboard?",SISTERS,Single,Text-Rich Understanding
70,60,What is the name of the top layer in the layers panel of the software interface?,Square,Single,Text-Rich Understanding
71,60,"What term is listed under ""SHOULD INCLUDE"" that refers to the effective use of visual style in the video project?",CINEMATOGRAPHY,Single,Text-Rich Understanding
72,50,"What phrase follows ""PRESENT A FILM"" in the LAB ASSIGNMENT section of the whiteboard?",OF YOUR CHOICE,Single,Text-Rich Understanding
74,60,What is the third example listed under 'EXAMPLES:' on the whiteboard?,DOZED AND CONFUSED,Single,Text-Rich Understanding
78,40,"What movie is listed under the ""VIEWING"" section on the whiteboard?",RAIDERS OF THE LOST ARK (1981),Single,Text-Rich Understanding
79,40,"What movie is listed under the ""VIEWING"" section on the whiteboard?",BEETLEJUICE (1988),Single,Text-Rich Understanding
77,60,"What film is listed under ""VIEWING"" on the whiteboard?",The Elephant Man (1980),Single,Text-Rich Understanding
75,60,What year is shown in parentheses after the movie title on the whiteboard?,1959,Single,Text-Rich Understanding
80,40,"What movie title is specified under the ""VIEWING"" section on the whiteboard?",VERTIGO,Single,Text-Rich Understanding
81,60,"What movie title is specified in the ""VIEWING"" section on the whiteboard?",HIS GIRL FRIDAY,Single,Text-Rich Understanding
84,60,"What year is listed next to ""Pride + Prejudice"" in the viewing assignment on the whiteboard?",2005,Single,Text-Rich Understanding
80,50,"What movie is listed under the ""VIEWING"" section on the whiteboard?",Vertigo,Single,Text-Rich Understanding
81,50,"What year is listed next to ""His Girl Friday"" in the viewing assignment on the whiteboard?",1940,Single,Text-Rich Understanding
85,60,What is the focal length value in millimeters specified for the telephoto lens on the whiteboard?,70,Single,Text-Rich Understanding
66,50,What is the volume indication on the purple bottle?,16 fl oz,Single,Text-Rich Understanding
88,40,"What movie title and release year are listed under the ""VIEWING"" section on the whiteboard?",JURASSIC PARK (1993),Single,Text-Rich Understanding
88,60,What color is the top worn by the woman seated at the table in the background behind the main characters?,dark purple,Single,Attribute Perception
91,50,What shape is the pattern on the tie of the man in the white shirt?,diamonds,Single,Attribute Perception
93,50,What is the text on the store sign visible in the background during the scene with the white car?,ACE,Single,Text-Rich Understanding
95,50,"What is the title of the film listed under ""VIEWING"" on the whiteboard?",GRIZZLY MAN,Single,Text-Rich Understanding
92,60,What does the lab assignment specify regarding the number of master and single shots?,"1 MASTER, 2 SINGLES",Single,Text-Rich Understanding
92,50,What does the lab assignment specify regarding the number of shots to record?,"1 MASTER, 2 SINGLES",Single,Text-Rich Understanding
85,50,What type of fruit is placed next to the orange on the table?,grapes,Single,Object Perception
101,50,What is the first item with a checkmark listed at the bottom of the whiteboard?,TREATMENT,Single,Text-Rich Understanding
101,60,"What term is in parentheses after ""A VISIBLE PRODUCT"" on the whiteboard?",PROP,Single,Text-Rich Understanding
102,40,"What is specified under ""MUST NOT INCLUDE"" on the whiteboard for the project?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
102,50,"What is listed under ""MUST NOT INCLUDE"" on the whiteboard?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
102,60,"What specific item is listed under ""MUST NOT INCLUDE"" on the whiteboard?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
104,40,What is the text on the car's license plate?,OPTIMUM,Single,Text-Rich Understanding
104,50,What is the text on the license plate of the car in the racing game scene?,OPTIMUM,Single,Text-Rich Understanding
105,50,What color name is stated as being added to the MacBook Pro (M3) in the on-screen text?,深空黑,Single,Text-Rich Understanding
113,40,What time is displayed on the phone's screen?,10:16,Single,Text-Rich Understanding
100,50,What is the time range specified for the short video project in minutes?,2月4日,Single,Text-Rich Understanding
115,60,What text is printed on the graphics card in the foreground?,RTX 4060 Ti,Single,Text-Rich Understanding
97,40,What year is associated with the movie 'Fantastic Mr Fox' in the viewing assignment?,2009,Single,Text-Rich Understanding
115,50,What is the model name printed on the graphics card?,RTX 4060 Ti,Single,Text-Rich Understanding
113,60,What text is printed below the card slot on the device?,DEBUG RCM,Single,Text-Rich Understanding
118,40,What technology is specified on the small label of the AMD Ryzen 7 processor box?,AMD 3D V-CACHE TECHNOLOGY,Single,Text-Rich Understanding
119,50,What is the texture of the cable connected to the left graphics card?,braided,Single,Attribute Perception
118,60,What is the brand name printed on the top left corner of the blue motherboard box?,ASRock,Single,Text-Rich Understanding
121,40,What text is visible on the box in the background?,GEFORCE RTX 4080,Single,Text-Rich Understanding
124,50,What is written on the white bottle with a black cap?,GOLDEN GAC 100,Single,Text-Rich Understanding
106,60,What is the memory bandwidth in GB/s for the RTX 4070 Ti SUPER?,672,Single,Text-Rich Understanding
138,60,What color is the paintbrush handle?,light purple,Single,Attribute Perception
127,60,What color is the paint on the brush tip as it applies makeup to the upper eyelid?,blue,Single,Attribute Perception
119,60,What brand name is printed on the graphics card in the first frame?,SUPRIM,Single,Text-Rich Understanding
146,50,What brand name is visible on the weight bench?,ATLANTIS,Single,Text-Rich Understanding
146,60,What brand name is visible on the weight bench?,ATLANTIS,Single,Text-Rich Understanding
122,50,What is the model number of the graphics card visible inside the computer case?,RTX 3070,Single,Text-Rich Understanding
140,50,What color is the small mark next to the black dot on the paint palette?,blue,Single,Attribute Perception
131,60,What text is displayed in the lower left corner of the video frame?,HINT: WATCH TILL THE VERY END...,Single,Text-Rich Understanding
145,60,What color is the cone closest to the person in the scene where they are walking on the path?,orange,Single,Attribute Perception
150,40,"What is the view count displayed for the 2018 workout video titled ""The Most Effective Science-Based PUSH Workout: Chest, Shoulders & Triceps...""?",5.3M views,Single,Text-Rich Understanding
106,50,What is the Boost frequency in MHz for the RTX 4070 Ti SUPER?,2610,Single,Text-Rich Understanding
153,40,How many candles are on the candlestick next to the bed?,3,Single,Counting
154,40,What color is the embroidery on the person's sock?,gold,Single,Attribute Perception
152,40,What pattern is visible on the ribbon tied around the knee?,floral,Single,Attribute Perception
154,50,What color is the band around the top of the person's sock?,black,Single,Attribute Perception
158,40,What does the sign on the desk say?,CARNABY STREET LONDON ENGLAND,Single,Text-Rich Understanding
155,50,What color are the boots placed next to the bench on the right side of the frame?,brown,Single,Attribute Perception
158,60,What is the text on the poster near the window above the bed?,VOGUE,Single,Text-Rich Understanding
158,50,What is the text on the poster to the right of the bed?,VOGUE,Single,Text-Rich Understanding
159,60,What color is the sleeve of the person adjusting the dress on the right side?,light blue,Single,Attribute Perception
151,50,What type of design is present in the white sections of the wall border?,floral,Single,Attribute Perception
147,50,"What symbol is displayed next to the text ""PULLING TOO FAR""?",warning triangle,Single,Text-Rich Understanding
161,40,What is hanging on the mirror on the dresser?,pearls,Single,Object Perception
162,40,What is the text in the caption at the bottom of the image?,STRETCHER CASES WAITING TO BE EMBARKED ON THE HOSPITAL TRAIN,Single,Text-Rich Understanding
161,60,What is hanging on the mirror above the dresser?,pearl necklace,Single,Object Perception
171,50,What is the percentage value displayed in the middle bar at the very beginning of the video?,0%,Single,Text-Rich Understanding
165,50,What number is displayed on the circular sign with a red border near the stone wall?,30,Single,Text-Rich Understanding
184,60,What text is displayed on the orange logo in the bottom left corner of the screen?,PERFORMANCE BICYCLE,Single,Text-Rich Understanding
157,60,What small decorative elements are visible on the back of the red chair?,studs,Single,Object Perception
157,50,What small decorative elements are visible on the back of the red chair?,studs,Single,Object Perception
188,50,What number is displayed next to the health bar in the game interface?,54,Single,Text-Rich Understanding
189,50,How many full hearts are displayed in the health bar?,10,Single,Counting
169,60,What number is displayed in the center of the circular gauge on the left side of the screen at the beginning of the video?,29,Single,Text-Rich Understanding
174,40,What is the height in meters shown at the start of the video?,329.5,Single,Text-Rich Understanding
189,60,How many full hearts are displayed in the player's health bar?,10,Single,Counting
192,50,What is the player's experience level displayed in the game interface?,17,Single,Text-Rich Understanding
193,50,What is the current durability value of the Diamond Boots as shown in the item tooltip?,425,Single,Text-Rich Understanding
196,50,How many units of the item are in the furnace's input slot?,11,Single,Counting
188,40,What number is displayed in the player's HUD below the health bar?,54,Single,Text-Rich Understanding
202,40,How many studs are on the green block?,4,Single,Counting
199,60,What number is displayed below the second item in the player's hotbar?,18,Single,Text-Rich Understanding
203,50,How many green blocks are in the left section of the structure?,4,Single,Counting
222,40,How many individual green rectangles are in the green section of the bar?,3,Single,Counting
203,40,What color is the small block placed on top of the orange block?,green,Single,Attribute Perception
217,40,What is the price displayed on the tag in front of the orange pyramid in the grocery store?,1.49,Single,Text-Rich Understanding
197,60,What number is displayed next to the health hearts in the game's user interface?,43,Single,Text-Rich Understanding
232,50,What is the text on the poster featuring a bottle illustration?,ВОДКА,Single,Text-Rich Understanding
231,50,What number is on the rabbit's shirt?,4,Single,Text-Rich Understanding
197,50,What is the player's experience level?,43,Single,Text-Rich Understanding
220,60,"What color is the multiplication symbol in the expression ""2 + 5 × 4""?",green,Single,Attribute Perception
200,60,What is the player's experience level?,13,Single,Text-Rich Understanding
225,40,"What color is the first letter of the word ""Antics"" on the person's shirt?",red,Single,Text-Rich Understanding
235,60,What time is displayed on the alarm clock?,12:00,Single,Text-Rich Understanding
252,40,What brand name is visible on the driver's gloves?,Sparco,Single,Text-Rich Understanding
233,50,What number is on the back of the pink character's chair?,4,Single,Text-Rich Understanding
252,50,What brand name is visible on the driver's gloves?,Sparco,Single,Text-Rich Understanding
246,60,What number is on the teddy bear's shirt in the picture on the wall?,15,Single,Text-Rich Understanding
258,40,What text is visible in the top right corner of the video?,J Football TV,Single,Text-Rich Understanding
243,50,What is depicted in the picture on the wall to the right?,a face,Single,Object Perception
227,40,"What color is the letter ""A"" in the word ""Antics"" on the person's t-shirt?",red,Single,Text-Rich Understanding
264,50,What is the warning message displayed in the bottom right corner of the screen?,DO NOT ATTEMPT! This part of the German Autobahn has no speed limit. High speed test performed by experienced driver.,Single,Text-Rich Understanding
268,60,What text is visible on the right glove?,freem,Single,Text-Rich Understanding
264,60,What text is displayed in the top right corner of the screen?,/AutoTopNL,Single,Text-Rich Understanding
266,40,What label is displayed next to the green numerical indicator on the car's dashboard?,Gear,Single,Text-Rich Understanding
253,50,What is the lap time displayed on the car's dashboard?,04:40.8,Single,Text-Rich Understanding
241,60,What symbol is on the cover of the book the character is holding?,camera on a tripod,Single,Object Perception
270,50,What is the repeated word in the chat message displayed on the right side of the screen?,FORSEN,Single,Text-Rich Understanding
272,50,What is the username displayed in the chat messages on the right side of the screen?,HARRY,Single,Text-Rich Understanding
271,40,What does the user 'FeelsSunnyMan' say in the chat?,lying for fun,Single,Text-Rich Understanding
274,60,What is the name of the contractor displayed in the game interface?,Gruppe6,Single,Text-Rich Understanding
271,50,What time is displayed on the phone interface in the game?,10:49,Single,Text-Rich Understanding
275,60,What time is displayed on the smartphone screen?,17:29,Single,Text-Rich Understanding
279,50,"What is the text of the chat message that includes ""ruined the vibe""?",You ruined the vibe bro,Single,Text-Rich Understanding
277,60,What is the current location displayed in the personal information section?,Little Seoul Apartments - B101,Single,Text-Rich Understanding
276,40,What is the text of the chat message that appears in the chat log with all capital letters?,FIRST KILL,Single,Text-Rich Understanding
280,50,What number is displayed in the bottom left corner of the screen?,39,Single,Text-Rich Understanding
273,60,"What is the menu option directly below ""GTA Online Vehicles"" in the settings?",FiveM,Single,Text-Rich Understanding
282,40,How many months has the subscriber been subscribed for?,16,Single,Counting
284,40,"What message does the user ""newfroggy"" post in the chat?",check the vault,Single,Text-Rich Understanding
273,50,"What is the name of the menu option located directly below ""GTA Online Vehicles"" in the settings menu?",FiveM,Single,Text-Rich Understanding
285,50,What name is displayed on the sign near the wall with the car parts?,TYLER,Single,Text-Rich Understanding
283,50,"What is the number of months a user has subscribed, as stated in the chat message?",17,Single,Text-Rich Understanding
288,50,What does the sign on the building say?,HOTEL,Single,Text-Rich Understanding
286,40,What phrase is repeatedly displayed in the chat messages on the right side of the screen?,GET A JOB FROM HIM,Single,Text-Rich Understanding
286,60,What text is printed on the character's hoodie?,AIR FORCE,Single,Text-Rich Understanding
290,50,"What is the text of the chat message that mentions ""medical one""?",maybe you get a medical one now,Single,Text-Rich Understanding
289,50,What time is displayed on the smartphone screen in the scene?,17:10,Single,Text-Rich Understanding
291,50,"What is the text of the message that includes ""Best shot"" in the chat?",Gave it Ur Best shot,Single,Text-Rich Understanding
291,60,What does the chat message from pigletBR say?,come to BRAZIL,Single,Text-Rich Understanding
292,60,What is the first message displayed in the chat box?,I THINK IN THE SEWERS MAYBE,Single,Text-Rich Understanding
297,40,What color is the motorcycle visible on the road during the sequence?,red,Single,Attribute Perception
293,60,What text is displayed on the wall in the gun shop?,GUN CLUB,Single,Text-Rich Understanding
298,50,What brand name is visible on the bicycle's handlebar?,ONEUP,Single,Text-Rich Understanding
298,40,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
294,40,What is the name of the first athlete listed in the top 10 fastest times?,Robert Gesink,Single,Text-Rich Understanding
298,60,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
278,40,What is the cargo type for the Los Santos (Rota Liquor) job?,Food,Single,Attribute Perception
299,40,What is the speed value shown on the motorcycle's digital display?,172,Single,Text-Rich Understanding
304,60,What is the promotional offer displayed in the window of the left-side store?,Buy 3 Get 3 Free,Single,Text-Rich Understanding
302,40,What is the name of the real estate agent displayed on the for-sale sign?,Jasmine Bang,Single,Text-Rich Understanding
303,60,What text is displayed on the YouTube subscribe button visible in the video?,SUBSCRIBED,Single,Text-Rich Understanding
